name,addr:postcode,operator,website,_region,latitude,longitude,sa2_code,sa2_name,sa3_name,region,irsd_decile,irsd_score
Ron Evans Oval,,,,Melbourne SW,-38.11378781561164,144.64495694887643,203031051,Portarlington,Surf Coast - Bellarine Peninsula,Rest of Vic.,5.0,1001.001291
Queenscliff Recreation Reserve,,,,Melbourne SW,-38.27245854219421,144.6565579787976,203031052,Point Lonsdale - Queenscliff,Surf Coast - Bellarine Peninsula,Rest of Vic.,9.0,1080.253677
Drysdale Reserve Football Club,,,https://www.drysdalefc.com.au/,Melbourne SW,-38.17462884247305,144.56190904916585,203031048,Clifton Springs,Surf Coast - Bellarine Peninsula,Rest of Vic.,6.0,1013.845111
Ray Menzies Oval,,,,Melbourne SW,-38.25927360375037,144.53822766879057,203031490,Ocean Grove,Surf Coast - Bellarine Peninsula,Rest of Vic.,9.0,1073.708848
The Fitzroy Shop,3195,,www.fitzroyfc.com.au,Melbourne SE,-38.0054411,145.0862949,208031193,Mordialloc - Parkdale,Kingston,Greater Melbourne,9.0,1072.088028
Narre Warren Football Club,,,,Melbourne SE,-37.9917449,145.304803,212021299,Narre Warren North,Casey - North,Greater Melbourne,9.0,1067.871877
Phillip Island Football Club,,,,Melbourne SE,-38.4512824,145.2463093,205031091,Phillip Island,Gippsland - South West,Rest of Vic.,5.0,1005.380808
Berwick Football Club,,,,Melbourne SE,-38.0286123,145.3639783,212021293,Berwick - North,Casey - North,Greater Melbourne,8.0,1057.342594
Kinetic Stadium,,,,Melbourne SE,-38.1475967,145.1203374,214011371,Frankston,Frankston,Greater Melbourne,4.0,971.7351039
Beaconsfield Football Club,,,https://www.beaconsfieldfc.com/,Melbourne SE,-38.0370566,145.3728598,212011546,Beaconsfield - Officer,Cardinia,Greater Melbourne,8.0,1056.433868
Warwick Bayley Oval,,,,Melbourne SE,-38.06474593092344,145.46122305860536,212011552,Pakenham - South West,Cardinia,Greater Melbourne,4.0,989.9932047
Warwick Bayley Oval,,,,Melbourne SE,-38.06674147922153,145.46047145058532,212011552,Pakenham - South West,Cardinia,Greater Melbourne,4.0,989.9932047
Narre Warren Football Club,,,,Melbourne SE,-37.99117876931481,145.30540422331882,212021299,Narre Warren North,Casey - North,Greater Melbourne,9.0,1067.871877
Hallam Recreation Reserve,,,,Melbourne SE,-38.002117792986134,145.27000119220227,212021297,Hallam,Casey - North,Greater Melbourne,2.0,917.2770092
Oval 5 - Premier Cricket/Junior Football,,,,Melbourne SE,-38.12326151001371,145.31419798280757,212031558,Cranbourne East - South,Casey - South,Greater Melbourne,6.0,1019.35603
Oval 2,,,,Melbourne SE,-38.12107781630727,145.3107774223981,212031558,Cranbourne East - South,Casey - South,Greater Melbourne,6.0,1019.35603
Oval 1 - VFL Football,,,,Melbourne SE,-38.11893241623579,145.31012281936904,212031558,Cranbourne East - South,Casey - South,Greater Melbourne,6.0,1019.35603
Oval 3 - Football/Cricket,,,,Melbourne SE,-38.122524429906925,145.31206974949677,212031558,Cranbourne East - South,Casey - South,Greater Melbourne,6.0,1019.35603
Oval 4 - Premier Cricket/Junior Football,,,,Melbourne SE,-38.121697254917166,145.31525268191174,212031558,Cranbourne East - South,Casey - South,Greater Melbourne,6.0,1019.35603
Rendall Oval,,,,Melbourne SE,-37.99552141000344,145.14499295319803,212041566,Keysborough - South,Dandenong,Greater Melbourne,7.0,1039.126293
Reserve 2,,,,Melbourne SE,-38.07372747148985,145.3369425285115,212021553,Berwick - South East,Casey - North,Greater Melbourne,8.0,1058.749042
Thomas Barclay Oval,,,,Melbourne SE,-38.296039694618564,145.1874289765656,214021379,Hastings - Somers,Mornington Peninsula,Greater Melbourne,5.0,1005.732473
Tyabb North Sports Ground,,,,Melbourne SE,-38.29761599887082,145.1871758828733,214021379,Hastings - Somers,Mornington Peninsula,Greater Melbourne,5.0,1005.732473
Nar Nar Goon Oval,,,,Melbourne SE,-38.08412721032093,145.5732076808694,212011547,Bunyip - Garfield,Cardinia,Greater Melbourne,7.0,1046.12331
Noble Park Football Social Club,,,,Melbourne SE,-37.977530551698734,145.1697423586564,212041460,Noble Park - West,Dandenong,Greater Melbourne,1.0,852.645408
Oval 1,,,,Melbourne SE,-38.148666461990565,145.18953115668333,214011374,Langwarrin,Frankston,Greater Melbourne,7.0,1040.351747
Oval 2,,,,Melbourne SE,-38.14819490703317,145.19150374135,214011374,Langwarrin,Frankston,Greater Melbourne,7.0,1040.351747
