stop_id,stop_name,stop_lat,stop_lon,mode,mode_folder
vic:rail:CFD_KR1,Kiss & Ride,-37.87773228,145.042131,train,1
vic:rail:CFD_PR1,Park & Ride,-37.87806154,145.04296362,train,1
vic:rail:CFD_TX1,Taxi Zone,-37.87717499,145.0427597,train,1
vic:rail:CGB,Craigieburn Railway Station,-37.6019248,144.94330601,train,1
vic:rail:CGB_BR1,Bike & Ride,-37.60257288,144.94274446,train,1
vic:rail:CGB_ConX,Connex,-37.6018169,144.94332031,train,1
vic:rail:CGB_DP1,Decision point 1,-37.60219654,144.9428681,train,1
vic:rail:CGB_DP2,Decision point 2,-37.60230364,144.94280852,train,1
vic:rail:CGB_EN1,Hothlyn Dr,-37.60217734,144.94280067,train,1
vic:rail:CGB_EN2,Hothlyn Dr,-37.60233027,144.94278513,train,1
vic:rail:CGB_EN3,Potter St,-37.60165871,144.94355121,train,1
vic:rail:CGB_KR1,Kiss & Ride,-37.60238274,144.94269307,train,1
vic:rail:CGB_PR1,Park & Ride 1,-37.60263179,144.94250497,train,1
vic:rail:CGB_PR2,Park & Ride 2,-37.60220259,144.94580165,train,1
vic:rail:CGB_TX1,Taxi Zone,-37.60204262,144.94282703,train,1
vic:rail:CKF,Clarkefield Railway Station,-37.48349769,144.74537264,train,1
vic:rail:CLA,Clayton Railway Station,-37.92468255,145.12053436,train,1
vic:rail:CLA_BR1,Bike & Ride,-37.92478364,145.12065693,train,1
vic:rail:CLA_DP1,Decision Point 1,-37.92457573,145.12061672,train,1
vic:rail:CLA_EN1,Clayton Rd,-37.92431823,145.12029335,train,1
vic:rail:CLA_LI1,Lift,-37.9245114,145.12053872,train,1
vic:rail:CLA_PR1,Park & Ride,-37.92651312,145.12286554,train,1
vic:rail:CLU,Clunes Railway Station,-37.30301059,143.78208969,train,1
vic:rail:CME,Castlemaine Railway Station,-37.06284167,144.21397878,train,1
vic:rail:DBK,Donnybrook Railway Station,-37.54202766,144.97020358,train,1
vic:rail:DEK,Deer Park Railway Station,-37.77728102,144.77108058,train,1
vic:rail:DNG_BR1,Bike & Ride,-37.98956704,145.21003117,train,1
vic:rail:DNG_DP1,Decision point 1,-37.99030729,145.20952354,train,1
